Event	ID	Name			Wwise Object Path	Notes
	365677268	Ennemy_Shot			\Default Work Unit\Act2 Shmup\Ennemy_Shot	
	471840786	Floor_Impact			\Default Work Unit\Act3 Plateformer\Floor_Impact	
	871813740	Player_Hit			\Default Work Unit\Act2 Shmup\Player_Hit	
	976825339	Moove			\Default Work Unit\Act1 Course\Moove	
	979765101	Win			\Default Work Unit\UI\Win	
	1018476863	Amb_Shmup			\Default Work Unit\Act2 Shmup\Amb_Shmup	
	1302771492	Rotate			\Default Work Unit\Act1 Course\Rotate	
	1902748681	Curtain_In			\Default Work Unit\UI\Curtain_In	
	2108779966	Walk			\Default Work Unit\Act3 Plateformer\Walk	
	2249769530	UI_Click			\Default Work Unit\UI\UI_Click	
	2538128552	Curtain_Out			\Default Work Unit\UI\Curtain_Out	
	2543661333	Sound_Test			\Default Work Unit\UI\Sound_Test	
	2860608887	Course_Amb			\Default Work Unit\Act1 Course\Course_Amb	
	2988140266	Ennemy_Destroy			\Default Work Unit\Act2 Shmup\Ennemy_Destroy	
	3263329277	Amb_Plateformer			\Default Work Unit\Act3 Plateformer\Amb_Plateformer	
	3359302305	Player_Shot			\Default Work Unit\Act2 Shmup\Player_Shot	
	3833651337	Jump			\Default Work Unit\Act3 Plateformer\Jump	
	3991942870	Music			\Default Work Unit\UI\Music	

Game Parameter	ID	Name			Wwise Object Path	Notes
	2543661333	Sound_Test			\Default Work Unit\Sound_Test	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	561188402	Grass_Boots_FullStep_01	.cache\94\{94840B6C-F5AE-AEA1-D3E2-999077A968B9}.wem		\Containers\Default Work Unit\Plateformer\Walk\Grass_Boots_FullStep_01		71584
	563047189	Metal Pipe	.cache\F2\{F2663A80-9B0B-E8BD-53F4-56502460A3DC}.wem		\Containers\Default Work Unit\UI\Sound_Test\Metal Pipe		640144
	596604982	Punch Clean Boxing Impact-007	.cache\9A\{9AC7C291-FD5A-0334-8FB1-21051DFEA836}.wem		\Containers\Default Work Unit\Plateformer\Floor_Impact\Impact\Punch Clean Boxing Impact-007		272708
	630791502	PowerfulSciFiHandgun_02	.cache\8E\{8EBDA70D-0925-7CDA-4051-AD4E1955CEF1}.wem		\Containers\Default Work Unit\Shoot_Them_Up\Player_Shot\PowerfulSciFiHandgun_02		438716
	724587790	SFX_Bubbles_6	.cache\23\{23360AC3-D2C3-9429-7FEE-15F9BFBF9FF9}.wem		\Containers\Default Work Unit\Boat\Rotate\SFX_Bubbles_6		30852
	854922456	SFX_Bubbles_1	.cache\3E\{3E407E65-FBC9-6528-ADB0-0D4C3C744D74}.wem		\Containers\Default Work Unit\Boat\Rotate\SFX_Bubbles_1		20340
	872283841	SFX_Bubbles_2	.cache\67\{67EE1700-CE03-CC9D-BE74-360506243E53}.wem		\Containers\Default Work Unit\Boat\Rotate\SFX_Bubbles_2		28500
	944689952	Whoosh Basic Airy Whistle-001	.cache\DB\{DBD45343-AB80-DBB0-F122-66DBC1D920B6}.wem		\Containers\Default Work Unit\Plateformer\Jump\Whoosh\Whoosh Basic Airy Whistle-001		75808
	989709376	SFX_Bubbles_3	.cache\D0\{D0A128DE-7BD6-06E5-80B3-F0CFF97E3FE9}.wem		\Containers\Default Work Unit\Boat\Rotate\SFX_Bubbles_3		29884
	1007535337	SFX_Bubbles_4	.cache\5C\{5C755477-D8C5-7C78-1547-D878730DE452}.wem		\Containers\Default Work Unit\Boat\Rotate\SFX_Bubbles_4		30712
	1025425004	Je vous ait compris	.cache\BE\{BE26F7EB-135A-D87D-46FB-05762124D876}.wem		\Containers\Default Work Unit\UI\Sound_Test\Je vous ait compris		768144
	1035180690	Foley Bag Fabric Large Trekking-008	.cache\BB\{BBF1432E-8844-B23F-FB67-E543A1FBF81A}.wem		\Containers\Default Work Unit\UI\Rideau_Transi\Out\Foley Bag Fabric Large Trekking-008		93264

